E,E_actual,bits_lower,bits_upper,f_lower,f_upper,float_lower_interval_cap,float_upper_interval_cap,num_floats_in_interval,k,e,regime_length,exponent_bits_length,fraction_bits,p_lower,p_upper,posit_lower_interval_cap,posit_upper_interval_cap,num_posits_in_interval
213,86,2147483969,2147484032,-1.547425e26,-7.7371252e25,11101010100000000000000000000000,11101010111111111111111111111111,8388608,21,2,23,2,6,Posit32(-1.535335790910579e26),Posit32(-7.737125245533627e25),10000000000000000000000101000001,10000000000000000000000110000000,64
214,87,2147483905,2147483968,-3.09485e26,-1.5474251e26,11101011000000000000000000000000,11101011011111111111111111111111,8388608,21,3,23,2,6,Posit32(-3.070671581821158e26),Posit32(-1.5474250491067253e26),10000000000000000000000100000001,10000000000000000000000101000000,64
215,88,2147483873,2147483904,-6.1897e26,-3.0948501e26,11101011100000000000000000000000,11101011111111111111111111111111,8388608,22,0,24,2,5,Posit32(-6.092986130857731e26),Posit32(-3.094850098213451e26),10000000000000000000000011100001,10000000000000000000000100000000,32
216,89,2147483841,2147483872,-1.23794e27,-6.1897002e26,11101100000000000000000000000000,11101100011111111111111111111111,8388608,22,1,24,2,5,Posit32(-1.2185972261715462e27),Posit32(-6.189700196426902e26),10000000000000000000000011000001,10000000000000000000000011100000,32
217,90,2147483809,2147483840,-2.47588e27,-1.2379401e27,11101100100000000000000000000000,11101100111111111111111111111111,8388608,22,2,24,2,5,Posit32(-2.4371944523430924e27),Posit32(-1.2379400392853803e27),10000000000000000000000010100001,10000000000000000000000011000000,32
218,91,2147483777,2147483808,-4.95176e27,-2.4758801e27,11101101000000000000000000000000,11101101011111111111111111111111,8388608,22,3,24,2,5,Posit32(-4.874388904686185e27),Posit32(-2.4758800785707605e27),10000000000000000000000010000001,10000000000000000000000010100000,32
219,92,2147483761,2147483776,-9.90352e27,-4.9517602e27,11101101100000000000000000000000,11101101111111111111111111111111,8388608,23,0,25,2,4,Posit32(-9.594035304461697e27),Posit32(-4.951760157141521e27),10000000000000000000000001110001,10000000000000000000000010000000,16
220,93,2147483745,2147483760,-1.980704e28,-9.9035203e27,11101110000000000000000000000000,11101110011111111111111111111111,8388608,23,1,25,2,4,Posit32(-1.9188070608923394e28),Posit32(-9.903520314283042e27),10000000000000000000000001100001,10000000000000000000000001110000,16
221,94,2147483729,2147483744,-3.961408e28,-1.9807041e28,11101110100000000000000000000000,11101110111111111111111111111111,8388608,23,2,25,2,4,Posit32(-3.837614121784679e28),Posit32(-1.9807040628566084e28),10000000000000000000000001010001,10000000000000000000000001100000,16
222,95,2147483713,2147483728,-7.922816e28,-3.9614081e28,11101111000000000000000000000000,11101111011111111111111111111111,8388608,23,3,25,2,4,Posit32(-7.675228243569358e28),Posit32(-3.961408125713217e28),10000000000000000000000001000001,10000000000000000000000001010000,16
223,96,2147483705,2147483712,-1.5845632e29,-7.9228163e28,11101111100000000000000000000000,11101111111111111111111111111111,8388608,24,0,26,2,3,Posit32(-1.4855280471424563e29),Posit32(-7.922816251426434e28),10000000000000000000000000111001,10000000000000000000000001000000,8
